car_ID,symboling,CarName,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginelocation_rear,price_to_horsepower,price_to_weight,car_brand_audi,car_brand_bmw,car_brand_buick,car_brand_chevrolet,car_brand_dodge,car_brand_honda,car_brand_isuzu,car_brand_jaguar,car_brand_mazda,car_brand_mercury,car_brand_mitsubishi,car_brand_nissan,car_brand_peugeot,car_brand_plymouth,car_brand_porcshce,car_brand_porsche,car_brand_renault,car_brand_saab,car_brand_subaru,car_brand_toyota,car_brand_toyouta,car_brand_vokswagen,car_brand_volkswagen,car_brand_volvo,car_brand_vw,car_model,car_brand_audi,car_brand_bmw,car_brand_buick,car_brand_chevrolet,car_brand_dodge,car_brand_honda,car_brand_isuzu,car_brand_jaguar,car_brand_mazda,car_brand_mercury,car_brand_mitsubishi,car_brand_nissan,car_brand_peugeot,car_brand_plymouth,car_brand_porsche,car_brand_renault,car_brand_saab,car_brand_subaru,car_brand_toyota,car_brand_volkswagen,car_brand_volvo,car_brand
1,3,alfa-romero giulia,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,13495.0,True,False,True,False,False,False,False,False,True,False,121.57657657657657,5.296310832025117,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,giulia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,alfa-romero
2,3,alfa-romero stelvio,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,27,16500.0,True,False,True,False,False,False,False,False,True,False,148.64864864864865,6.475667189952905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,stelvio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,alfa-romero
3,1,alfa-romero quadrifoglio,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,19,26,16500.0,True,False,True,False,True,False,False,False,True,False,107.14285714285714,5.844845908607864,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,quadrifoglio,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,alfa-romero
4,2,audi 100 ls,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,24,30,13950.0,True,False,False,False,False,True,False,True,False,False,136.76470588235293,5.969191270860077,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100 ls,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
5,2,audi 100ls,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,22,17450.0,True,False,False,False,False,True,False,False,False,False,151.7391304347826,6.179178470254958,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100ls,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
6,2,audi fox,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,15250.0,True,False,True,False,False,True,False,True,False,False,138.63636363636363,6.082967690466694,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,fox,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
7,1,audi 100ls,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,17710.0,True,False,False,False,False,True,False,True,False,False,161.0,6.227144866385372,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100ls,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
8,1,audi 5000,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,25,18920.0,True,False,False,False,False,False,True,True,False,False,172.0,6.404874746106974,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
9,1,audi 4000,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,20,23875.0,True,True,False,False,False,True,False,True,False,False,170.53571428571428,7.736552171095269,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
10,0,audi 5000s (diesel),99.5,178.2,67.9,52.0,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,22,17859.167,True,True,True,False,True,False,False,False,False,False,111.61979375000001,5.8497107762856215,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5000s (diesel),True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,audi
11,2,bmw 320i,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16430.0,True,False,True,False,False,True,False,False,True,False,162.67326732673268,6.860125260960334,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,320i,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
12,0,bmw 320i,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800,23,29,16925.0,True,False,False,False,False,True,False,False,True,False,167.5742574257426,7.066805845511483,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,320i,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
13,0,bmw x1,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,20970.0,True,False,True,False,False,True,False,False,True,False,173.30578512396696,7.7380073800738005,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,x1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
14,0,bmw x3,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,21,28,21105.0,True,False,False,False,False,True,False,False,True,False,174.4214876033058,7.632911392405063,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,x3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
15,1,bmw z4,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,20,25,24565.0,True,False,False,False,False,True,False,False,True,False,203.01652892561984,8.040916530278233,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,z4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,bmw
